version,sha256,datetime,sources
11.5.0.596,f4ed99ef043ea864243e5accb53de8d848c2e97da79d818686caefead56fe9d7,2009-04-28 10:00:51,2e3b3525444e49940a03c1102bd74572aa233b1ce6fa99cd0e39d6f0988d73c1
11.5.0.600,447e5c04c709e24752ea1b0998c7c4517823c68d1ceeae96663f37b92281c2ee,2009-06-04 11:51:27,352c87b68de619c9a154ee040e9bfdb92b49282e010354e5b390041340266ef5
11.5.1.601,8243cea40ae9b879836e47946c4a574d2a2e35eb11130bacb94ac5a185d0a48b,2009-07-21 07:07:07,d005ae62c36c8a6d284b645aaccec77851dbb9a7c8676c1844e9a1c74e593fc3 f83990e9dbc9e57c96b680aecb56f63121b28e68367ed29844ee633ebca9304a
11.5.2.602,c275407753e2eae4274e47be70d91eb9bdbda5ad5bb4c2b7c974925643962e8a,2009-10-29 05:01:19,819c5945b9dc9a83f7f5a592b62628c102ce50c25ad424f5a974df9025b93cbf
11.5.6.606,b07d7c0c7436b21696f443b75e620303748b0228f38a94bdee354c566188643c,2010-01-18 06:44:19,f654f2bc0c94e322e037d21def7b0ae94be77af692ca1ec4054026bb5111e76b
11.5.7.609,aea1d675cf723afaf1fb7ab165425257d2c948080d99d9bd9319649e80aee70f,2010-05-05 13:40:10,8d1d25f2c5b4e1cfe81ffd0e68213db875f4577919c5f77606e4a9320e367518 d33ff89910539b0f29a75460ed9977f5ca7ce8965f8483db8e1cb732b3e1f4f5 f7abad034f74941ee5e94dd90ca55bb23b95064173bf1a3071d772068b66f813
11.5.8.612-20100818060539,905255ed70859cfdd5611207cb48aaab6a99b219b2aee6ba2b1204f840979f95,2010-08-18 06:05:39,8491f6e1a400818bc172fa8b9aa209a9d2c0464dee31fe8a1e4bec5422ea0bc5
11.5.8.612-20100901072135,50fb24b9be6c36c92b2a2e1e195f55e9eaab306cf1788e7a92a7e098f485cb33,2010-09-01 07:21:35,director-win-11.5.8 director-mac-11.5.8
11.5.8.612-20100923130618,3aec0033e8d828c0f5b35865a4b6e697dd1976881e1402e751516bed069c5a5b,2010-09-23 13:06:18,4c2b0ac91f670e371ec2766efd5a7a9040362e04f55a892eb08ea4e7c0240d34
11.5.9.615,60a21765eb85fdc69482cc3f491eb4fe732b7f39627c7f731565767eef63aba1,2010-10-22 11:49:38,2ed0d26dbdd5e00a3acdc947197b96e42589d45732b1d53117351113d83d613a 6bd7df9156873431237bf53513c3637a157e774516e3522cc5dae309493a95b0 953ba56501b93c813c96e448503d591b8250277fe1ad2f4a12b491fcb20952d5
11.5.9.620-20110202133907,3219f6704943e07e30035edca8cd207ad9ce05c1517940cccbff4534e1c2ca15,2011-02-02 13:39:07,18f97ab80b76058e7dbbbe3999c6a7fa43c81738d73ec4eaef8ca99ba01f6c65 8a377b427b6514edd91bae3c2be78ac2a19cbf4b9e6379f18b392cc028cf9316 eb1911f1766c5ab196feaee9148640535b33d062ff78fc414a45e6bca868cca9
11.5.9.620-20110426064448,36a598d6bc99c37d375aeb577ea9b1f7be5abd0b944e89c31923e70c821fdabf,2011-04-26 06:44:48,2471538f762b5e9ede8890e2de77499cf76fe83d6e14eaa5f3e3061c18872600 7200e2151d48b7c3adf267cc2c70e598a364f8acc0338081a5cc0eb6c98ade0e
11.5.9.629,bfbf218116bee3cc6657a265532a8ea30125b4c784e583fbd119016b642a343b,2011-08-17 04:26:58,director-win-11.5.9 director-mac-11.5.9
11.6.0.626,737690123994818e0217fc4ae8730f6b719da2c7d7a8ebdc24fc6668f3cef753,2011-06-10 13:51:52,35ac49bb89a99294d05548d3d3fb8eb07bd1697d35967beb1af9be4e53667d43 fe1a7dc1db9bad31420fd0f4d59abe29c4eaed7adfee949d63f3e195ef57d167
11.6.1.629-20110802124357,9111fbd5e94ee8368450aafffbdef3e7751b68598479724ed498fcd406a65c72,2011-08-02 12:43:57,491b5353040b5482933c6d1c00f83e09918fd5a56f37b6ea85df438fc66c5c67
