version,sha256,datetime,sources
11.0.3.472,8684a4c4641d25db6acce627e69b6f8988f18beb0b2603f93983a43d96024d6f,2009-01-16 13:28:23,d8c937bdaf65223befb49458b1e11ab95e16936d12ca8dd89f0d5997a649c38f
11.5.0.593,21360acc7b9eae76f9c3cf76bde5ef9b5c427250dc2235db17d337a7b8b0b6e6,2009-03-15 04:44:57,director-win-11.5.0 director-mac-11.5.0
11.5.0.595,a5391a5da465e0029f5fd4b1105c99a74eb95d05d612d57264a31923e576980d,2009-03-19 15:24:48,f2943c120ec6c5c4d696f351ce64721630083f0fdf7e08d693ae75bec6b34eba
11.5.0.596,deba2fbefc3ba6c40ba6e424f3210b5d077d875d931a8c9a0efdc45fb4cad483,2009-04-28 10:04:46,2e3b3525444e49940a03c1102bd74572aa233b1ce6fa99cd0e39d6f0988d73c1
11.5.0.600,01b30b9ca863195c550fb6d2b9e151d1dd4268ae3c056d70e26a9f07822cc6ed,2009-06-04 11:55:25,352c87b68de619c9a154ee040e9bfdb92b49282e010354e5b390041340266ef5
11.5.1.601,4110ffbb6b1264072fe7d1c6f004e2c30a4f530a68abff0cc794a4ec86d033a7,2009-07-21 07:12:02,d005ae62c36c8a6d284b645aaccec77851dbb9a7c8676c1844e9a1c74e593fc3 f83990e9dbc9e57c96b680aecb56f63121b28e68367ed29844ee633ebca9304a
11.5.2.602,8f55193d9587762a03409c3c5cbb826e3ad77d73f9fbf32ea74196a3709136b9,2009-10-29 05:05:38,819c5945b9dc9a83f7f5a592b62628c102ce50c25ad424f5a974df9025b93cbf
11.5.6.606,db79270a58bd958ccb57b4427452ef14c5125cc1001be14a4a250bec30a48dd5,2010-01-18 06:48:43,f654f2bc0c94e322e037d21def7b0ae94be77af692ca1ec4054026bb5111e76b
11.5.7.609,66c461bf88fe2fcacfe7895e84c8472d8cd9a51a16d0b9c8c141f6a358fcc16f,2010-05-05 13:44:23,8d1d25f2c5b4e1cfe81ffd0e68213db875f4577919c5f77606e4a9320e367518 d33ff89910539b0f29a75460ed9977f5ca7ce8965f8483db8e1cb732b3e1f4f5 f7abad034f74941ee5e94dd90ca55bb23b95064173bf1a3071d772068b66f813
11.5.8.612-20100818060755,092a3b6ae221a8751cd13147a9e1419b62ded06f19ddbeb0f5f637e98c17b1bd,2010-08-18 06:07:55,8491f6e1a400818bc172fa8b9aa209a9d2c0464dee31fe8a1e4bec5422ea0bc5
11.5.8.612-20100901072337,70161338ef5cf9e56f200f94ed9d17c074b36305c3f788a96b332065d9aa65ad,2010-09-01 07:23:37,director-win-11.5.8 director-mac-11.5.8
11.5.8.612-20100923130813,90a4da5b2950c437d3fe83e663222bfb8f6b34834ed2b4e9b8539f01f8b9dc5e,2010-09-23 13:08:13,4c2b0ac91f670e371ec2766efd5a7a9040362e04f55a892eb08ea4e7c0240d34
11.5.9.615,4e65233f53dc6f4388c7c3a9faae60ab5a4653c63a0182ff583781231bd71fef,2010-10-22 11:51:40,2ed0d26dbdd5e00a3acdc947197b96e42589d45732b1d53117351113d83d613a 6bd7df9156873431237bf53513c3637a157e774516e3522cc5dae309493a95b0 953ba56501b93c813c96e448503d591b8250277fe1ad2f4a12b491fcb20952d5
11.5.9.620-20110202134118,6e3eba816674254e51ae14d2f9d316dc79c70c6f832f0fa383de9b044ef57c17,2011-02-02 13:41:18,18f97ab80b76058e7dbbbe3999c6a7fa43c81738d73ec4eaef8ca99ba01f6c65 8a377b427b6514edd91bae3c2be78ac2a19cbf4b9e6379f18b392cc028cf9316 eb1911f1766c5ab196feaee9148640535b33d062ff78fc414a45e6bca868cca9
11.5.9.620-20110426064647,e32972412dfb1d592a4bad5ff72ad9f0d3a3bb8cae7b35ee4a3fd8ecb912e500,2011-04-26 06:46:47,2471538f762b5e9ede8890e2de77499cf76fe83d6e14eaa5f3e3061c18872600 7200e2151d48b7c3adf267cc2c70e598a364f8acc0338081a5cc0eb6c98ade0e
11.5.9.629,3f0b14ce3a27400cda9df2b13bcbc1d27ae74f899879620de79f504079d1b79c,2011-08-17 04:29:04,director-win-11.5.9 director-mac-11.5.9
11.6.0.626,987a887e9ff20173f6f9b577fbad6301deb6b0d6e982fb14322c44f5b815d10a,2011-06-10 13:53:29,35ac49bb89a99294d05548d3d3fb8eb07bd1697d35967beb1af9be4e53667d43 fe1a7dc1db9bad31420fd0f4d59abe29c4eaed7adfee949d63f3e195ef57d167
11.6.1.629-20110802124521,20c91651573cb15bdfef58791bf1ed553d8181a94d1f6d5cf8b901c63625a008,2011-08-02 12:45:21,491b5353040b5482933c6d1c00f83e09918fd5a56f37b6ea85df438fc66c5c67
11.6.1.629-20110816101747,2d5af8d458583b5ff5ee8a357e946d50b173ff0595af5508d4fcedd93e7da107,2011-08-16 10:17:47,424ee2dff12340fe398a55655387604127600f0da0bdc607a17a46190df8550b 8fb542b0bc4841c0af86d1ff17c6b77715d113310c77de44ccc84868e2cebae9
11.6.1.629-20111005112256,d14ee8e91e2675308e569f6d53b02a7466a104d4673939ae02edbedf84dc5809,2011-10-05 11:22:56,ac34cf915b2badd4497edfe686e2f5efc3501429dd7074ab56594696b76d95d0 b5e09c40ba1d4a52b5470c397ca67f847a323bdd30ff27172dd3f222109056ce
11.6.3.633,300e0149dc3f701de587e9bc9ab4805f1c124441a2970d60b59dfee8386ab5b0,2011-11-02 09:35:17,025d7cdefaee85336ea7e763065628a027795f73d61001306ac9e170b06514b0 eac5d0d5d42fae3ab2b79b699c87956e16eb8beabd3ddf0bf0f217abd4ac5e38
11.6.4.634,fc27fcb8a1f9ec1b43f2164ece015063330568e318fdb9a4a520626297b01612,2012-02-02 13:38:07,aeebb5e85d2d97c5d3c5d4afd68648fc25d4ed1b8b146b15c4a38c73b8a2c1ec
11.6.5.635,a95367d0cd35323554a42f4a1c1b823fdd96d1bb0e9800083021f294181c6ea9,2012-04-26 12:55:58,fae17fc79ad0ae880d5685619c305d2dda1558d1d98616637787acb96ac1fc14
11.6.6.636,c6531a19466843ecc097f897e695e64a7518d63558de2d999f9e80a5c36f4d0f,2012-08-08 16:04:35,90b72b9f17f715b02b5a817769a03c36c5a7f8ad3f6eb420e5439975e61d79a2
11.6.7.637,352e129294abc869f56c4445ddd37a5a863226d8c7865f1529b726cdc568b137,2012-08-08 18:38:50,e5bf0fb7a5bc2238cc9f3d468dfb38323423bba40e3274c5e55b91847a801842 f7675bca651b3745b8a6c5f016100fea886a6a5e067eb08366ebc8816fa5be32
11.6.8.638,bdff7bccfa00629c3b354a52edd6341b18ab2c3f7632766caab62b951c9e7cae,2012-10-04 09:34:55,0c1a8be066b6ef2339eac3bedc8abb479c029561c831803c92deeeb2354f2494 3d3acef3b2bb9fb4ae6b235c7f48521d8358f49d8d554fe71544e109157d064d 776d8aa1d4519dc6394aa0c679212c6babb67f3dbeeae554efe44161b49a63ab baa157241b31bc03d87640d777620b6139d35a82f46690ce8aed154d0c77e74c cf72d3e0bd6213171a767b1f69947abac779c0103b6b0793db1766270421005c
12.0.0.111-codesign-0,ef2958a39a498bbfebd634025bcaf8c825d1a3ab0929e5e4b1c1cef6bca0fdbc,2013-01-24 12:28:03,director-mac-12.0.0
12.0.0.111-codesign-1,c2f71b7e8446211733e892ad37ada37944ab150120f7e77ff404752aef7dea9c,2013-01-24 12:28:03,director-win-12.0.0
12.0.0.112-20130130144816,b79223ef7da40069beaa572c0a6dae38491cac960d41ec792f88215787fd522e,2013-01-30 14:48:16,3ea7103af02c76e4ed4bf494ee62edaa1a246ef70340f09e8ae3cc5b64e0cd1e 8cbb8914497d228e76168ab97d13c9a83ecc3192fec59ade30be041cda8d7ae8
12.0.0.112-20130218061609,3c3708c066e09f6161b47e8210c07ebb7d7c885f6fd0fb5d0ed0d43becefb26c,2013-02-18 06:16:09,4dd3df88ab27fe4b7bb488c13fcbe0e4a17845ce3d5676d853d26acaa4451d69 c36ac184f58c2467cc1cf63b5ff87ebdfaf3e434e56b9949fd340ab105cf6f70
12.0.0.112-20130315060245,42a13ccf7cc98272058253d704ada324312dc50ee2595213ae59f6a7d22b47b8,2013-03-15 06:02:45,674582238b292805ee6e10f3d890b4ed3a36e9ab74833baec954ed658bab3615 d84a509897424dd436a060a17b03ae119fa21277c5b4ded8ab6c415a38dfc862
12.0.2.122,bdc6d337ef4331b925a07afa48e39fcb7faf1b4216c5530c0117633a339b5fd8,2013-04-03 13:58:09,5116a1e86567248940a513a0aab6097a3b760fc9b0140aa289c6faf761c9381a 67636d68254995c6a8e3db95cd9c6909363cb82ebdd43a2531696988c1ed319f
12.0.3.133,7eaaa70e88a3c07f138c49dd675c6cb58a0b93de81105f37fd0fb3bfb3112d21,2013-06-26 07:56:03,023b62dab5ffa2672e083c2c277a1f240df0c8d8404458f93870eb3d40b6b44c 2ddec2fd0442af7636ee0ca98e969026dd4bcffaf341a4517189c9e9d9bfdc8d b2c131735e12a32d208debe77c2a211cd5c21adca56a6485f55c7eca46149888
12.0.4.144,4b9f3420736368530a26c8f8067fc05b4b71ffd2282c5fcdc4aa90ad6077142b,2013-09-05 10:17:39,347587117f24b4e3dd94c1d4e5e15efec854742d442979ad7c18d547e99fff3b d358ca9c34ef69a864d0f71afee379decac1b5023b101bc0093e190766d26c0e
12.0.5.146,ac51423d021c399020ef1f8c9c83b573f1e30591322efee988c38e0f18ff4d8b,2013-10-25 09:35:45,1a7f46150b6611b106fa358ed3167cbed1a6f74247b2da67103df2e7fc069e3b 6266e574ff12143db64433ba424d4a6d0cc131cf71e921016a38ede193f52f10
12.0.6.147,6cbed0c4b3a592937cdf4ed8e52d5370b5f427913344f19324cf50d7aefe0654,2013-11-25 09:37:52,1a66e40f40022ff3afc74a296a96a970e9fbbf751363313c44a047e7fc38b020
12.0.7.148,7ff2b557fe6c6ca8a5f420e9af9e2f7d543df400f351ad0618608a73486682c2,2013-12-05 08:44:14,0e18cc3850acc887034b55fd936076c22c84254adff358bb85dd52a31de7960e fa85d0764f93db4ac2c8c1c648ca9fd385131769966a730472c8c99ed6b726ef
12.0.9.149,bc7dffa99986f4323c78e5840bcdde810608222272b460724687235eada1dcff,2014-01-29 03:19:53,3812f3d286c43ff91687ef4ccb38778e2cdf0942b316907d8b7767d69917d18c
12.1.0.150,32add8e26d435837fe3b6d2353a3970cbbf7e0c0e0c400380183176af5491623,2014-03-11 08:46:11,6d6bd2064e8406c5c7ebfaaa9acc62a939360c19e5d50000285314ec45da1a37
12.1.1.151,62cff226fb8c59a5cbd78b83fc03627f739ad576c34af34b7389173efc0b94c1,2014-04-15 05:14:55,3c6a93eeb659071d047632e2c03b8b12a34d988a8be4e3cf7d0b6af8163b3013 57d244b2da7e366d4017e03cf4fcf49cc70149a5bf6483764bbd34b72f1df275 a438412d1e6f416e9802f3ad508e2ea602e69c08713c5682eae40f545bf8f824 bcbb2a98253c875a364107341023e51664b79bfc590cc5548fbc667521118468
12.1.2.152,975eae75113b954cf89697217e97660939d6481f85af183fff46dc8c9d6ff720,2014-05-30 06:31:36,d732b452b41e95ec61cdb83ec1f1747a3648d0aca58be743129546a01472a272
12.1.3.153-20140619052202,36f3b0f8ec24c594ae911179f1fc75de8d7e7ce313688750105bd484507e9edd,2014-06-19 05:22:02,5cf62f3745c965050181c15fb22df0dd733f09830f9282cfa390f92e31cc4f38
12.1.3.153-20140624181955,a2601fcbaccd8fee8d15f25399b47a33030924a4d710809557c1e59c6793dabd,2014-06-24 18:19:55,967ccdf42e0c55d68c5e11b78ac7c55cc68b61cb25ad688594634ad569555e36 98572390932ca63393d5635f9b2b075f58696185efb6669c8281756ae6838a0c e2bd8695082ea42c6afbbd67ddd405c1cdc2875d26281aa18ce35b6de2b3e42d e7ebe5771c741754bc933a3ad2a3fbd8c08619f3237342318d5751506d1a75ac
12.1.4.154,545b189453f5de7c72ab39eb240731e96acd84228ff5c2b2d796a3ddb9f5038d,2014-11-07 13:03:04,b44e3f5dbc7e3ebdbdede5a7f0e8dce62c1bcb0789faffcce5b503a8774ee8aa
12.1.5.155-20141202095040,0e9f9682cda364a2cea34d2f8f3d18c22a3f63d05044e178af00e90573e31fcb,2014-12-02 09:50:40,1cf1277c5e72cb8cf1fa0917c7e4571c165d452ce25b2ccac68e38568402463a 2e8aadd69ab7a354687f0af6f552b96a852c7c41fd9c61d6b746c69a278ac90c 837d62efa35c8c2990e533d8ce6287f465e03c2490cd1b37aef22d69f158ef99 ed1d5eda2ac41a311914f2b1fbaa6d60f7081c0fbea07c990d210a4313c696ba
12.1.5.155-20141211024953,a8575a624ad8a9e800b5f68d1c0eb5482ac0eea61258b3ab821a6134ff24742c,2014-12-11 02:49:53,6d5465fd3ea4ad9f0aa4448041242abc295e984bc43a628aa27ee6d437042e6d 7855a0bb7f776fa16d91423463faca9e0333d3ce294e609ee316cc6e566bb17f cecc48b166b5f517f2f28d54c8fd6a9614cb6fc07ac652f1d2094ceda4974f9f
